,排名,城市,2019上半年GDP,2018上半年GDP,名义增速
0,1,上海,16409.94,15558.15,5.47%
1,2,北京,15212.5,14051.2,
2,3,深圳,12133.92,11009.38,7.4%
3,4,广州,11755.54,10652.98,
4,5,天津,10371.16,9927.6,
5,6,重庆,10334.76,9821.09,
6,7,苏州,9548.27,9109.77,9%
7,8,成都,7702.37,6870.68,
8,9,武汉,7478.94,6780.38,
9,10,杭州,6949,6355.85,7.8%（实际）
10,11,南京,6742.59,6201.08,
11,12,青岛,,5985.43,
12,13,无锡,5962.51,5535.66,
13,14,长沙,5537.82,5059.98,
14,15,宁波,,5037.29,
15,16,郑州,5106.87,4611.4,6.23%
16,17,佛山,,4475.98,
17,18,南通,4580.11,4262.81,
18,19,烟台,,3930.05,
19,20,济南,4791.7,3916.6,10.42%
20,21,东莞,,3868.6,
21,22,西安,4142.34,3832.49,
22,23,泉州,4007.84,3568.32,
23,24,常州,3765.6,3506.66,
24,25,合肥,3752.2,3410.92,
25,26,大连,3671,3520.6,
26,27,徐州,3540.76,3318.09,
27,28,潍坊,,3186.75,
28,29,石家庄,3156.8,3142.4,
29,30,福州,3528.53,3130.23,
30,31,唐山,,3201.4,
31,32,长春,,2972.97,
32,33,温州,,2725.37,
33,34,盐城,2885.11,2721.13,
34,35,沈阳,,2705.2,
35,36,扬州,2804.57,2642.48,
36,37,淄博,,2585.12,
37,38,哈尔滨,2717.7,2558.4,
38,39,绍兴,,2538.02,
39,40,泰州,2732.15,2507.57,8.33%
40,41,济宁,,2483.21,8.73%
41,42,临沂,,2399.11,
42,43,南昌,2644.49,2394.98,
43,44,昆明,,2221.16,
44,45,嘉兴,,2190.54,
45,46,洛阳,2315.02,2159.31,
46,47,台州,,2120.61,
47,48,厦门,2307.36,2081.51,
48,49,镇江,2216.3,2118.95,
49,50,东营,,2080.06,
50,51,惠州,,1989.46,
51,52,金华,,1936.38,
52,53,宜昌,2077.54,1928.82,4.61%
53,54,襄阳,,1926.88,
54,55,泰安,,1895.86,
55,56,中山,,1862.26,
56,57,淮安,1956.1,1845.71,
57,58,鄂尔多斯,,1836.43,
58,59,威海,,1818.88,10.21%
59,60,南宁,,1765.56,
60,61,沧州,,1758.9,8.26%
61,62,太原,,1729.82,10.35%
62,63,德州,,1684.37,4.47%
63,64,保定,,1683.3,5.23%
64,65,邯郸,,1679.9,4.81%
65,66,聊城,,1676.25,12.10%
66,67,榆林,1849.78,1661.61,10.30%
67,68,贵阳,1785.67,1648.34,9.33%
68,69,漳州,1775.65,1606.49,8.73%
69,70,南阳,1773.28,1725.66,7.71%
70,71,芜湖,1694.4,1558.37,9.44%
71,72,菏泽,,1641.55,10.74%
72,73,岳阳,,1508.38,7.44%
73,74,常德,,1477.7,8.08%
74,75,茂名,,1468.87,12.32%
75,76,呼和浩特,,1394.46,7.38%
76,77,遵义,,1368.32,10.01%
77,78,江门,,1361.04,4.27%
78,79,湛江,,1360.45,6.71%
79,80,乌鲁木齐,,1350.56,12.72%
80,81,湖州,1463.6,1350,6.03%
81,82,连云港,1446.89,1398.67,6.13%
82,83,包头,,1337.02,8.96%
83,84,滨州,,1323.12,7.21%
84,85,大庆,1371.1,1310.7,10.85%
85,86,宿迁,1408.56,1304.88,4.95%
86,87,许昌,1406.6,1305.9,5.98%
87,88,珠海,,1299.41,11.32%
88,89,枣庄,,1260.47,10.53%
89,90,廊坊,,1238.6,2.76%
90,91,赣州,1333.07,1234.03,8.41%
91,92,兰州,,1232.9,3.45%
92,93,周口,1328.15,1224.75,7.95%
93,94,柳州,1325.6,1272.02,7.72%
94,95,衡阳,,1215.03,8.03%
95,96,株洲,1272.8,1177.91,8.44%
96,97,新乡,1268.59,1194.16,4.21%
97,98,九江,1300.27,1179.81,8.06%
98,99,汕头,,1168.3,6.23%
99,100,信阳,1214.08,1112.19,9.06%
